aaronz;20060326 17:30:22;/accounts/login.php;user logged in (internal):151.199.123.220:https://sakaiproject.org/accounts/login.php?ref=/conference/registration/index.php&msg=You+must+login+to+register+or+submit+a+proposal+for+the+Sakai+Vancouver+conference.+If+you+do+not+have+an+account%2C+please+create+one.
seungpyo;20060326 18:20:57;/accounts/login.php;user logged in (internal):69.107.122.70:https://sakaiproject.org/accounts/login.php?ref=/conference/proposals/index.php&msg=You+must+login+to+register+or+submit+a+proposal+for+the+Sakai+Vancouver+conference.+If+you+do+not+have+an+account%2C+please+create+one.
ajax;20060326 18:32:02;/accounts/ajax/validate.php;validate:namespaces:CA
ajax;20060326 18:32:02;/accounts/ajax/validate.php;return=ok|state|
ajax;20060326 18:32:02;/accounts/ajax/validate.php;validate:namespaces:US
ajax;20060326 18:32:02;/accounts/ajax/validate.php;return=ok|country|
ajax;20060326 18:33:55;/accounts/ajax/validate.php;validate:zipcode:94720-4600
ajax;20060326 18:33:55;/accounts/ajax/validate.php;return=ok|zip|
ajax;20060326 18:34:10;/accounts/ajax/validate.php;validate:phone:510-717-8028
ajax;20060326 18:34:10;/accounts/ajax/validate.php;return=ok|phone|
ajax;20060326 18:34:23;/accounts/ajax/validate.php;validate:namespaces:US
ajax;20060326 18:34:23;/accounts/ajax/validate.php;return=ok|country|
ajax;20060326 18:50:38;/accounts/ajax/validate.php;validate:namespaces:CA
ajax;20060326 18:50:38;/accounts/ajax/validate.php;return=ok|state|
ajax;20060326 18:50:38;/accounts/ajax/validate.php;validate:namespaces:US
ajax;20060326 18:50:38;/accounts/ajax/validate.php;return=ok|country|
ajax;20060326 18:50:38;/accounts/ajax/validate.php;validate:zipcode:94720-4600
ajax;20060326 18:50:38;/accounts/ajax/validate.php;return=ok|zip|
ajax;20060326 18:50:38;/accounts/ajax/validate.php;validate:phone:510-717-8028
ajax;20060326 18:50:38;/accounts/ajax/validate.php;return=ok|phone|
ajax;20060326 18:51:07;/accounts/ajax/validate.php;validate:namespaces:US
ajax;20060326 18:51:07;/accounts/ajax/validate.php;return=ok|country|
